activity_type,begintimestamp,duration,startLatitude,startLongitude,endtimestamp,Date
road_biking,2024-04-30 11:15:54.000,02:06:51,46.51951608248055,6.579383779317141,2024-04-30 13:22:45,2024-04-30
road_biking,2024-04-29 14:13:48.000,01:52:04,46.52182244695723,6.574720423668623,2024-04-29 16:05:52,2024-04-29
mountain_biking,2024-04-28 07:37:50.000,02:15:21,47.013991037383676,6.982667483389378,2024-04-28 09:53:11,2024-04-28
road_biking,2024-04-27 11:59:20.000,02:50:00,47.01396488584578,6.982758846133947,2024-04-27 14:49:20,2024-04-27
cycling,2024-04-24 08:15:57.000,01:25:07,46.52276298031211,6.5655607637017965,2024-04-24 09:41:04,2024-04-24
cycling,2024-04-22 14:19:05.000,01:36:39,46.52108517475426,6.573478141799569,2024-04-22 15:55:44,2024-04-22
fitness_equipment,2024-04-21 12:38:56.000,00:33:58,,,2024-04-21 13:12:54,2024-04-21
cycling,2024-04-20 08:11:22.000,01:12:33,46.522628450766206,6.564413784071803,2024-04-20 09:23:55,2024-04-20
cycling,2024-04-19 16:21:57.000,01:09:35,46.52234296314418,6.565470742061734,2024-04-19 17:31:32,2024-04-19
cycling,2024-04-16 11:43:22.000,02:37:02,46.519629238173366,6.579455696046352,2024-04-16 14:20:24,2024-04-16
cycling,2024-04-14 14:31:52.000,01:31:50,47.01108595356345,6.983325546607375,2024-04-14 16:03:42,2024-04-14
mountain_biking,2024-04-14 08:07:12.000,02:25:18,47.01390529051423,6.982941068708897,2024-04-14 10:32:30,2024-04-14
cycling,2024-04-13 13:35:54.000,02:01:03,47.01403713785112,6.982657173648477,2024-04-13 15:36:57,2024-04-13
cycling,2024-04-10 10:17:26.000,02:52:33,46.522158393636346,6.565771987661719,2024-04-10 13:09:59,2024-04-10
road_biking,2024-04-07 07:05:44.000,03:50:32,47.01394518837333,6.982671590521932,2024-04-07 10:56:16,2024-04-07
mountain_biking,2024-04-06 09:00:48.000,02:34:25,47.013948038220406,6.982688941061497,2024-04-06 11:35:13,2024-04-06
mountain_biking,2024-04-04 08:51:00.000,02:55:24,47.01394728384912,6.982654826715589,2024-04-04 11:46:24,2024-04-04
mountain_biking,2024-04-01 08:08:37.000,02:44:02,46.32368448190391,6.961763435974717,2024-04-01 10:52:39,2024-04-01
mountain_biking,2024-03-31 08:00:09.000,04:28:14,46.32371230982244,6.961471829563379,2024-03-31 12:28:23,2024-03-31
mountain_biking,2024-03-30 08:29:24.000,03:40:19,46.32378305308521,6.961534693837166,2024-03-30 12:09:43,2024-03-30
mountain_biking,2024-03-29 13:06:39.000,02:17:00,46.323750112205744,6.9616658706218,2024-03-29 15:23:39,2024-03-29
