activity_type,begintimestamp,duration,startLatitude,startLongitude,endtimestamp,Date
lap_swimming,2024-05-06 19:33:45.000,00:17:09,,,2024-05-06 19:50:54,2024-05-06
running,2024-05-06 17:39:22.000,00:59:39,46.52178380638361,6.5834456495940685,2024-05-06 18:39:01,2024-05-06
lap_swimming,2024-05-02 18:48:11.000,00:38:34,,,2024-05-02 19:26:45,2024-05-02
running,2024-05-01 16:39:06.000,00:19:31,46.52421900071204,6.648960364982486,2024-05-01 16:58:37,2024-05-01
cycling,2024-05-01 11:03:48.000,04:17:31,46.52428211644292,6.647625882178545,2024-05-01 15:21:19,2024-05-01
open_water_swimming,2024-04-30 13:57:22.000,00:38:58,46.517390264198184,6.584215695038438,2024-04-30 14:36:20,2024-04-30
hiit,2024-04-29 20:54:46.000,00:46:54,,,2024-04-29 21:41:40,2024-04-29
running,2024-04-29 20:25:01.000,00:21:26,46.524291252717376,6.648573540151119,2024-04-29 20:46:27,2024-04-29
volleyball,2024-04-28 10:57:18.000,01:24:40,,,2024-04-28 12:21:58,2024-04-28
volleyball,2024-04-28 08:11:51.000,00:41:29,,,2024-04-28 08:53:20,2024-04-28
lap_swimming,2024-04-27 16:46:52.000,00:47:12,,,2024-04-27 17:34:04,2024-04-27
running,2024-04-26 17:54:12.000,01:32:35,46.52164349332452,6.583429388701916,2024-04-26 19:26:47,2024-04-26
cycling,2024-04-26 17:22:57.000,00:12:00,46.524239955469966,6.647659325972199,2024-04-26 17:34:57,2024-04-26
cycling,2024-04-24 10:11:48.000,03:04:27,46.52410819195211,6.647547762840986,2024-04-24 13:16:15,2024-04-24
running,2024-04-23 16:55:23.000,00:51:12,46.51898936368525,6.580530172213912,2024-04-23 17:46:35,2024-04-23
lap_swimming,2024-04-22 19:21:30.000,00:29:34,,,2024-04-22 19:51:04,2024-04-22
running,2024-04-22 12:33:32.000,00:42:46,46.52421682141721,6.64952446706593,2024-04-22 13:16:18,2024-04-22
hiit,2024-04-21 18:19:07.000,00:36:16,,,2024-04-21 18:55:23,2024-04-21
running,2024-04-21 13:47:13.000,01:20:01,46.52412671595812,6.6482730489224195,2024-04-21 15:07:14,2024-04-21
cycling,2024-04-20 13:15:37.000,01:31:24,46.52523698285222,6.649818755686283,2024-04-20 14:47:01,2024-04-20
hiit,2024-04-18 19:17:00.000,00:40:04,,,2024-04-18 19:57:04,2024-04-18
running,2024-04-18 15:28:27.000,00:40:00,46.51895809918642,6.580547271296382,2024-04-18 16:08:27,2024-04-18
volleyball,2024-04-17 17:07:29.000,01:24:35,,,2024-04-17 18:32:04,2024-04-17
cycling,2024-04-17 16:43:15.000,00:14:49,46.524205254390836,6.648074816912413,2024-04-17 16:58:04,2024-04-17
running,2024-04-16 16:43:40.000,00:58:07,46.51466983370483,6.601129285991192,2024-04-16 17:41:47,2024-04-16
cycling,2024-04-16 06:40:16.000,00:15:16,46.52421380393207,6.647610291838646,2024-04-16 06:55:32,2024-04-16
running,2024-04-15 17:34:15.000,00:59:48,46.52398036792874,6.649259096011519,2024-04-15 18:34:03,2024-04-15
cycling,2024-04-15 13:38:39.000,00:15:15,46.52827248908579,6.601348388940096,2024-04-15 13:53:54,2024-04-15
lap_swimming,2024-04-15 11:06:01.000,00:57:56,,,2024-04-15 12:03:57,2024-04-15
cycling,2024-04-15 10:35:38.000,00:10:46,46.524264765903354,6.648736819624901,2024-04-15 10:46:24,2024-04-15
cycling,2024-04-14 15:23:57.000,02:13:37,46.524305418133736,6.647694865241647,2024-04-14 17:37:34,2024-04-14
cycling,2024-04-11 18:09:22.000,00:14:55,46.524263340979815,6.648375056684017,2024-04-11 18:24:17,2024-04-11
running,2024-04-11 17:12:19.000,00:31:35,46.52393803931773,6.649436876177788,2024-04-11 17:43:54,2024-04-11
cycling,2024-04-10 19:06:13.000,00:19:22,46.52214255183935,6.588043961673975,2024-04-10 19:25:35,2024-04-10
volleyball,2024-04-10 17:15:15.000,01:15:49,,,2024-04-10 18:31:04,2024-04-10
cycling,2024-04-10 16:52:22.000,00:13:03,46.52417306788266,6.64839131757617,2024-04-10 17:05:25,2024-04-10
cycling,2024-04-10 11:09:01.000,02:04:23,46.524281445890665,6.647670725360513,2024-04-10 13:13:24,2024-04-10
hiit,2024-04-09 22:27:28.000,00:53:47,,,2024-04-09 23:21:15,2024-04-09
lap_swimming,2024-04-08 18:56:19.000,00:29:51,,,2024-04-08 19:26:10,2024-04-08
running,2024-04-08 17:12:47.000,01:07:05,46.522965067997575,6.647120118141174,2024-04-08 18:19:52,2024-04-08
running,2024-04-03 12:10:13.000,01:18:51,56.49333335459232,-4.24962448887527,2024-04-03 13:29:04,2024-04-03
hiking,2024-04-01 08:55:57.000,02:01:06,57.498698802664876,-6.1594427190721035,2024-04-01 10:57:03,2024-04-01
running,2024-03-30 17:52:47.000,00:48:40,56.82154504582286,-5.0954844150692225,2024-03-30 18:41:27,2024-03-30
running,2024-03-28 16:47:19.000,00:46:39,46.51925548911095,6.580295730382204,2024-03-28 17:33:58,2024-03-28
running,2024-03-28 16:25:12.000,00:19:15,46.51918466202915,6.580295227468014,2024-03-28 16:44:27,2024-03-28
hiit,2024-03-27 16:30:05.000,00:51:28,,,2024-03-27 17:21:33,2024-03-27
hiit,2024-03-26 18:37:22.000,01:08:52,,,2024-03-26 19:46:14,2024-03-26
running,2024-03-26 16:55:25.000,00:45:39,46.5239860676229,6.649439390748739,2024-03-26 17:41:04,2024-03-26
running,2024-03-25 19:03:56.000,00:46:13,46.5146523155272,6.601222828030586,2024-03-25 19:50:09,2024-03-25
hiit,2024-03-24 19:44:08.000,01:14:17,,,2024-03-24 20:58:25,2024-03-24
cycling,2024-03-24 16:22:47.000,01:05:06,46.52447272092104,6.647827047854662,2024-03-24 17:27:53,2024-03-24
lap_swimming,2024-03-22 19:26:07.000,00:11:06,,,2024-03-22 19:37:13,2024-03-22
indoor_cycling,2024-03-22 06:00:05.000,00:25:30,,,2024-03-22 06:25:35,2024-03-22
running,2024-03-21 17:50:39.000,00:21:52,46.518973438069224,6.580726727843285,2024-03-21 18:12:31,2024-03-21
volleyball,2024-03-20 18:29:59.000,00:56:01,,,2024-03-20 19:26:00,2024-03-20
cycling,2024-03-20 12:35:19.000,04:27:14,46.5239411406219,6.647526305168867,2024-03-20 17:02:33,2024-03-20
running,2024-03-19 20:24:21.000,00:45:02,46.52404717169702,6.648121252655983,2024-03-19 21:09:23,2024-03-19
hiit,2024-03-19 19:09:02.000,00:42:02,,,2024-03-19 19:51:04,2024-03-19
lap_swimming,2024-03-18 19:58:29.000,00:36:08,,,2024-03-18 20:34:37,2024-03-18
soccer,2024-03-17 14:28:06.000,02:01:47,46.51987968944013,6.583836833015084,2024-03-17 16:29:53,2024-03-17
running,2024-03-16 16:26:51.000,01:00:04,46.52397860772908,6.6493492014706135,2024-03-16 17:26:55,2024-03-16
lap_swimming,2024-03-15 19:42:38.000,01:18:40,,,2024-03-15 21:01:18,2024-03-15
running,2024-03-14 17:23:19.000,00:53:04,46.514059295877814,6.572373826056719,2024-03-14 18:16:23,2024-03-14
cycling,2024-03-14 07:06:40.000,00:43:33,46.524357134476304,6.647719759494066,2024-03-14 07:50:13,2024-03-14
cycling,2024-03-13 11:49:03.000,03:08:38,46.524195112288,6.647590007632971,2024-03-13 14:57:41,2024-03-13
strength_training,2024-03-12 19:01:25.000,00:37:58,,,2024-03-12 19:39:23,2024-03-12
running,2024-03-12 17:34:45.000,00:47:45,46.523931166157126,6.649337634444237,2024-03-12 18:22:30,2024-03-12
lap_swimming,2024-03-11 20:06:16.000,00:39:30,,,2024-03-11 20:45:46,2024-03-11
running,2024-03-11 18:31:03.000,00:41:09,46.51466304436326,6.601260295137763,2024-03-11 19:12:12,2024-03-11
running,2024-03-09 18:31:18.000,01:00:05,46.52418212033808,6.648371201008558,2024-03-09 19:31:23,2024-03-09
