sleepStartTimestampGMT,sleepEndTimestampGMT,Date,deep_sleep,light_sleep,rem_sleep,awake_sleep,sleepScore
2023-07-04T22:34:00.0,2023-07-05T05:12:00.0,2023-07-05,3540.0,11280.0,8880.0,180.0,77.0
2023-07-05T22:34:00.0,2023-07-06T08:19:44.0,2023-07-06,4380.0,24960.0,5460.0,300.0,89.0
2023-07-06T22:34:00.0,2023-07-07T06:31:00.0,2023-07-07,3780.0,19800.0,3720.0,1320.0,82.0
2023-07-07T22:45:00.0,2023-07-08T08:18:00.0,2023-07-08,4560.0,23040.0,6480.0,300.0,91.0
2023-07-08T22:57:00.0,2023-07-09T07:56:00.0,2023-07-09,3840.0,19920.0,7800.0,780.0,92.0
2023-07-09T23:03:00.0,2023-07-10T08:11:51.0,2023-07-10,3900.0,18900.0,6720.0,3360.0,68.0
2023-07-11T00:35:00.0,2023-07-11T09:42:00.0,2023-07-11,4020.0,21060.0,6900.0,840.0,91.0
2023-07-11T23:49:00.0,2023-07-12T09:29:00.0,2023-07-12,3600.0,22980.0,4800.0,3420.0,77.0
2023-07-12T22:04:00.0,2023-07-13T06:15:00.0,2023-07-13,6180.0,15240.0,4620.0,3420.0,78.0
2023-07-13T23:29:00.0,2023-07-14T08:10:00.0,2023-07-14,5400.0,18360.0,4800.0,2700.0,73.0
2023-07-14T23:11:00.0,2023-07-15T05:01:00.0,2023-07-15,5700.0,13680.0,360.0,1260.0,56.0
2023-07-15T22:34:00.0,2023-07-16T08:09:00.0,2023-07-16,4620.0,23580.0,3960.0,1920.0,78.0
2023-07-16T22:36:00.0,2023-07-17T08:31:00.0,2023-07-17,1140.0,22680.0,,11880.0,30.0
2023-07-17T21:24:00.0,2023-07-17T23:05:00.0,2023-07-18,120.0,2160.0,,3780.0,
2023-07-19T01:17:00.0,2023-07-19T09:10:40.0,2023-07-19,4260.0,20580.0,3180.0,360.0,76.0
2023-07-19T22:51:00.0,2023-07-20T07:23:15.0,2023-07-20,6720.0,18420.0,5340.0,240.0,93.0
2023-07-20T23:51:00.0,2023-07-21T08:04:59.0,2023-07-21,3420.0,20340.0,5520.0,300.0,90.0
2023-07-22T08:46:00.0,2023-07-22T12:00:00.0,2023-07-22,3060.0,8580.0,,0.0,38.0
2023-07-23T07:42:00.0,2023-07-23T11:08:00.0,2023-07-23,4740.0,5880.0,600.0,1140.0,39.0
2023-07-23T22:39:00.0,2023-07-24T08:44:00.0,2023-07-24,3960.0,25500.0,6300.0,540.0,84.0
2023-07-24T22:57:00.0,2023-07-25T08:55:00.0,2023-07-25,4500.0,23640.0,7200.0,540.0,87.0
2023-07-26T00:26:00.0,2023-07-26T09:11:47.0,2023-07-26,3900.0,22260.0,3780.0,1560.0,78.0
2023-07-26T23:04:00.0,2023-07-27T07:17:00.0,2023-07-27,4140.0,20280.0,4860.0,300.0,86.0
2023-07-28T00:30:00.0,2023-07-28T08:50:00.0,2023-07-28,3360.0,22020.0,3300.0,1320.0,60.0
2023-07-28T22:11:00.0,2023-07-29T08:20:00.0,2023-07-29,4020.0,24900.0,4200.0,2520.0,48.0
2023-07-30T22:39:00.0,2023-07-31T05:16:00.0,2023-07-31,2940.0,17160.0,1920.0,1800.0,65.0
2023-07-31T23:41:00.0,2023-08-01T06:50:00.0,2023-08-01,4020.0,16980.0,3540.0,1200.0,77.0
2023-08-01T23:06:00.0,2023-08-02T07:59:00.0,2023-08-02,2820.0,22500.0,4800.0,1860.0,79.0
2023-08-02T23:38:00.0,2023-08-03T06:01:00.0,2023-08-03,6240.0,15360.0,,1380.0,56.0
2023-08-04T01:43:00.0,2023-08-04T08:31:00.0,2023-08-04,6120.0,12240.0,5220.0,900.0,78.0
2023-08-05T02:53:00.0,2023-08-05T08:17:00.0,2023-08-05,5460.0,8940.0,3840.0,1200.0,63.0
2023-08-05T23:44:00.0,2023-08-06T06:21:00.0,2023-08-06,3360.0,18240.0,,2220.0,39.0
2023-08-06T22:17:00.0,2023-08-07T05:00:00.0,2023-08-07,4080.0,17040.0,3000.0,60.0,76.0
2023-08-07T21:40:00.0,2023-08-08T04:30:34.0,2023-08-08,4080.0,18240.0,660.0,1620.0,42.0
2023-08-08T20:51:00.0,2023-08-09T05:00:22.0,2023-08-09,2460.0,22800.0,3660.0,420.0,80.0
2023-08-09T21:25:00.0,2023-08-10T04:56:00.0,2023-08-10,3480.0,21600.0,1920.0,60.0,71.0
2023-08-10T23:06:00.0,2023-08-11T05:01:00.0,2023-08-11,5760.0,13140.0,1980.0,420.0,66.0
2023-08-11T22:18:00.0,2023-08-12T07:44:00.0,2023-08-12,3360.0,24780.0,5760.0,60.0,79.0
2023-08-13T21:16:00.0,2023-08-14T04:11:00.0,2023-08-14,2280.0,21360.0,960.0,300.0,58.0
