sleepStartTimestampGMT,sleepEndTimestampGMT,Date,deep_sleep,light_sleep,rem_sleep,awake_sleep,sleepScore
2023-10-20T23:13:00.0,2023-10-21T07:22:00.0,2023-10-21,4440,17340,6420.0,1140,90
2023-10-22T02:48:00.0,2023-10-22T08:09:00.0,2023-10-22,2700,14340,1140.0,1080,40
2023-10-22T21:26:00.0,2023-10-23T04:31:00.0,2023-10-23,5160,16980,1620.0,1740,68
2023-10-23T22:20:00.0,2023-10-24T05:31:00.0,2023-10-24,4560,17760,3240.0,300,79
2023-10-24T22:12:00.0,2023-10-25T05:35:00.0,2023-10-25,4380,16380,5760.0,60,82
2023-10-25T22:45:00.0,2023-10-26T04:32:00.0,2023-10-26,6120,13740,,960,54
2023-10-26T21:25:00.0,2023-10-27T05:52:00.0,2023-10-27,4140,21300,4800.0,180,87
2023-10-27T21:26:00.0,2023-10-28T05:10:45.0,2023-10-28,4800,18120,4380.0,540,83
2023-10-28T23:53:00.0,2023-10-29T07:03:00.0,2023-10-29,5940,15600,3720.0,540,82
2023-10-29T21:53:00.0,2023-10-30T06:26:00.0,2023-10-30,3600,20340,4020.0,2820,74
2023-10-31T01:12:00.0,2023-10-31T07:30:00.0,2023-10-31,3960,15720,1440.0,1560,63
2023-10-31T22:25:00.0,2023-11-01T05:22:00.0,2023-11-01,6900,14640,2460.0,1020,75
2023-11-04T23:01:00.0,2023-11-05T07:42:00.0,2023-11-05,2400,22800,4080.0,1980,48
2023-11-05T23:28:00.0,2023-11-06T06:46:00.0,2023-11-06,5400,16560,4080.0,240,82
2023-11-07T20:59:00.0,2023-11-08T05:19:00.0,2023-11-08,4860,18840,4560.0,1740,82
2023-11-08T23:00:00.0,2023-11-09T05:17:00.0,2023-11-09,5400,13320,3660.0,240,73
2023-11-10T04:05:00.0,2023-11-10T08:42:00.0,2023-11-10,2880,11760,1140.0,840,37
2023-11-11T00:18:00.0,2023-11-11T07:45:10.0,2023-11-11,3720,18720,3600.0,780,79
2023-11-12T01:51:00.0,2023-11-12T06:04:00.0,2023-11-12,4440,10140,540.0,60,47
2023-11-13T01:20:00.0,2023-11-13T06:01:00.0,2023-11-13,3240,11220,2280.0,120,58
2023-11-15T01:29:00.0,2023-11-15T06:05:47.0,2023-11-15,3180,12600,600.0,180,37
2023-11-16T01:44:00.0,2023-11-16T10:45:00.0,2023-11-16,1380,28080,2520.0,480,46
2023-11-17T00:49:00.0,2023-11-17T07:03:00.0,2023-11-17,5640,13260,3480.0,60,77
2024-01-11T23:14:00.0,2024-01-12T06:08:00.0,2024-01-12,4860,15660,3420.0,900,80
2024-01-13T01:05:00.0,2024-01-13T07:05:41.0,2024-01-13,2280,14160,4620.0,540,73
2024-01-14T00:12:00.0,2024-01-14T06:36:00.0,2024-01-14,5880,14880,1260.0,1020,62
2024-01-15T00:33:00.0,2024-01-15T06:01:00.0,2024-01-15,6120,13020,300.0,240,54
2024-01-15T23:27:00.0,2024-01-16T05:16:00.0,2024-01-16,5520,13740,1020.0,660,61
2024-01-17T01:46:00.0,2024-01-17T08:48:51.0,2024-01-17,6720,11940,6360.0,300,83
2024-01-18T00:51:00.0,2024-01-18T05:07:00.0,2024-01-18,4200,11100,,60,46
2024-01-19T00:37:00.0,2024-01-19T08:25:00.0,2024-01-19,5640,16260,5760.0,420,89
2024-01-20T00:57:00.0,2024-01-20T06:35:00.0,2024-01-20,3720,14040,,2520,35
2024-01-21T01:25:00.0,2024-01-21T08:27:00.0,2024-01-21,4920,19080,,1320,59
2024-01-21T23:36:00.0,2024-01-22T05:01:00.0,2024-01-22,7500,10920,480.0,600,57
2024-01-23T00:45:00.0,2024-01-23T09:00:41.0,2024-01-23,6360,16920,6000.0,420,90
2024-01-23T23:43:00.0,2024-01-24T08:06:00.0,2024-01-24,3180,18180,8340.0,480,89
2024-01-25T00:46:00.0,2024-01-25T09:25:00.0,2024-01-25,6360,17400,7080.0,300,95
2024-01-26T00:50:00.0,2024-01-26T08:25:00.0,2024-01-26,5460,16800,4080.0,960,79
2024-01-26T23:52:00.0,2024-01-27T07:30:00.0,2024-01-27,4020,19380,3060.0,1020,77
2024-01-28T02:15:00.0,2024-01-28T08:21:00.0,2024-01-28,4740,14100,1440.0,1680,43
