Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-03-30,998.0,,52063.0,,,,,,,,,,,,,,,
2023-04-02,1068.0,,47296.0,,,,,,,,,,,,,,,
2023-04-03,59.0,219.0,1176.0,0.0,420.0,,,51.0,126.0,51.0,,,,,,,,
2023-04-04,1025.0,0.0,42990.0,0.0,0.0,,,,,,,,,,,,,
2023-04-05,1008.0,0.0,54638.0,0.0,0.0,,,,,,,,,,,,,
2023-04-06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-04-07,1137.0,0.0,34422.0,0.0,0.0,,,,,,,,,,,,,
2023-04-08,1836.0,0.0,47674.0,0.0,0.0,,,,,,,,,,,,,
2023-04-09,1839.0,0.0,50172.0,0.0,0.0,,,,,,,,,,,,,
2023-04-10,1610.0,0.0,40882.0,0.0,0.0,,,,,,,,,,,,,
2023-04-11,185.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-04-12,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-04-13,1429.0,0.0,80753.0,0.0,0.0,,,,,,,,,,,,,
2023-04-14,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-04-15,457.0,0.0,15774.0,0.0,0.0,,,,,,,,,,,,,
2023-04-16,429.0,0.0,14725.0,0.0,0.0,,,,,,,,,,,,,
2023-04-17,51.0,391.0,908.0,240.0,719.0,,,65.0,110.0,65.0,,,,,,,,
2023-04-18,1135.0,0.0,55224.0,0.0,0.0,,,,,,,,,,,,,
2023-04-19,973.0,0.0,52363.0,0.0,0.0,,,,,,,,,,,,,
2023-04-20,588.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-04-21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-04-22,765.0,234.0,34367.0,240.0,240.0,,,61.0,107.0,63.0,,,,,,,,
2023-04-23,546.0,0.0,22383.0,0.0,0.0,,,,,,,,,,,,,
2023-04-24,150.0,294.0,220.0,60.0,435.0,,,85.0,168.0,73.0,,,,,,,,
2023-04-25,376.0,3482.0,2603.0,0.0,2580.0,,,90.0,156.0,,,,,,,,,
2023-04-26,1063.0,,55619.0,,,,,,,,,,,,,,,
2023-04-27,754.0,,39594.0,,,,,,,,,,,,,,,
2023-04-28,1380.0,,61890.0,,,,,,,,,,,,,,,
2023-04-29,794.0,,31099.0,,,,,,,,,,,,,,,
2023-04-30,1051.0,,58419.0,,,,,,,,,,,,,,,
2023-05-01,813.0,,42278.0,,,,,,,,,,,,,,,
2023-05-02,584.0,3024.0,6457.0,1080.0,2167.0,,,92.0,171.0,82.0,,,,,,,,
2023-05-03,863.0,0.0,44386.0,0.0,0.0,,,,,,,,,,,,,
2023-05-04,70.0,0.0,4885.0,0.0,0.0,,,,,,,,,,,,,
2023-05-05,923.0,0.0,42298.0,0.0,0.0,,,,,,,,,,,,,
2023-05-06,465.0,0.0,15602.0,0.0,0.0,,,,,,,,,,,,,
2023-05-07,907.0,0.0,30500.0,0.0,0.0,,,,,,,,,,,,,
2023-05-08,273.0,240.0,9297.0,180.0,360.0,,,48.0,131.0,70.0,,,,,,,,
2023-05-09,983.0,0.0,51919.0,0.0,0.0,,,47.0,47.0,47.0,,,,,,,,
2023-05-10,816.0,0.0,42850.0,0.0,0.0,,,,,,,,,,,,,
2023-05-11,290.0,0.0,15408.0,0.0,0.0,,,,,,,,,,,,,
2023-05-12,677.0,0.0,30859.0,0.0,0.0,,,,,,,,,,,,,
2023-05-13,1116.0,0.0,37109.0,0.0,0.0,,,,,,,,,,,,,
2023-05-14,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-05-15,482.0,0.0,20501.0,0.0,0.0,,,,,,,,,,,,,
2023-05-16,210.0,3751.0,1588.0,921.0,2760.0,,,47.0,148.0,47.0,,,,,,,,
2023-05-17,627.0,0.0,29933.0,0.0,0.0,,,,,,,,,,,,,
2023-05-18,739.0,0.0,44824.0,0.0,0.0,,,,,,,,,,,,,
2023-05-19,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
