Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-07-09,398.0,615.0,29695.0,420.0,480.0,,,80.0,166.0,80.0,,,,,,,,
2023-07-10,1226.0,0.0,42888.0,0.0,0.0,,,,,,,,,,,,,
2023-07-11,432.0,0.0,16702.0,0.0,0.0,,,,,,,,,,,,,
2023-07-12,892.0,0.0,23813.0,0.0,0.0,,,,,,,,,,,,,
2023-07-13,2641.0,0.0,40312.0,0.0,0.0,,,,,,,,,,,,,
2023-07-14,574.0,199.0,25949.0,95.0,60.0,,,48.0,48.0,64.0,,,,,,,,
2023-07-15,257.0,915.0,13574.0,210.0,1374.0,,,46.0,151.0,58.0,,,,,,,,
2023-07-16,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-07-17,1394.0,0.0,73173.0,0.0,0.0,,,,,,,,,,,,,
2023-07-18,737.0,346.0,20126.0,420.0,374.0,,,63.0,110.0,52.0,,,,,,,,
2023-07-19,199.0,0.0,11986.0,0.0,0.0,,,70.0,78.0,56.0,,,,,,,,
2023-07-20,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-07-21,1773.0,0.0,100088.0,0.0,0.0,,,,,,,,,,,,,
2023-07-22,1423.0,0.0,72064.0,0.0,0.0,,,,,,,,,,,,,
2023-07-23,1600.0,0.0,86529.0,0.0,0.0,,,,,,,,,,,,,
2023-07-24,1.0,249.0,62.0,180.0,300.0,,,,,,,,,,,,,
2023-07-25,1092.0,0.0,52931.0,0.0,0.0,,,,,,,,,,,,,
2023-07-26,0.0,192.0,5.0,60.0,195.0,,,,,,,,,,,,,
2023-07-27,1368.0,0.0,37950.0,0.0,0.0,,,,,,,,,,,,,
2023-07-28,657.0,0.0,40190.0,0.0,0.0,,,,,,,,,,,,,
2023-07-29,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-07-30,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-07-31,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-08-01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-08-02,1061.0,0.0,73364.0,0.0,0.0,,,,,,,,,,,,,
2023-08-03,1025.0,0.0,59564.0,0.0,0.0,,,,,,,,,,,,,
2023-08-04,949.0,0.0,50806.0,0.0,0.0,,,,,,,,,,,,,
2023-08-05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-08-06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-08-07,1030.0,0.0,60019.0,0.0,0.0,,,,,,,,,,,,,
2023-08-08,995.0,0.0,57591.0,0.0,0.0,,,,,,,,,,,,,
2023-08-09,506.0,0.0,34260.0,0.0,0.0,,,70.0,120.0,,,,,,,,,
2023-08-10,693.0,,49527.0,,,,,,,,,,,,,,,
2023-08-17,105.0,,8107.0,,,,,,,,,,,,,,,
2023-08-22,593.0,,20046.0,,,,,,,,,,,,,,,
2023-08-23,1008.0,2177.0,30864.0,180.0,2040.0,,,61.0,159.0,65.0,,,,,,,,
2023-08-24,1464.0,,65406.0,,,,,,,,,,,,,,,
2023-08-26,571.0,,22678.0,,,,,,,,,,,,,,,
2023-08-27,1503.0,,43481.0,,,,,,,,,,,,,,,
2023-08-30,595.0,,16660.0,,,,,,,,,,,,,,,
2023-08-31,680.0,,22654.0,,,,,,,,,,,,,,,
2023-09-02,715.0,,24111.0,,,,,,,,,,,,,,,
2023-09-03,1274.0,,35616.0,,,,,,,,,,,,,,,
2023-09-04,701.0,,36549.0,0.0,0.0,,,,,,,,,,,,,
2023-09-05,306.0,,9278.0,0.0,0.0,,,,,,,,,,,,,
2023-09-06,361.0,10724.0,7739.0,1530.0,11030.0,,,50.0,140.0,60.0,,,,,,,,
2023-09-07,1011.0,22328.0,14338.0,675.0,16787.0,,,46.0,165.0,60.0,,,,,,,,
2023-09-08,407.0,983.0,11860.0,60.0,1650.0,,,58.0,144.0,60.0,,,,,,,,
2023-09-10,475.0,,20356.0,,,,,,,,,,,,,,,
2023-09-11,1483.0,,42550.0,,,,,,,,,,,,,,,
2023-09-12,533.0,,36325.0,,,,,,,,,,,,,,,
2023-09-14,564.0,,42591.0,,,,,,,,,,,,,,,
2023-09-17,450.0,,29120.0,0.0,0.0,,,,,,,,,,,,,
2023-09-18,0.0,,,0.0,0.0,,,71.0,83.0,60.0,,,,,,,,
2023-09-19,343.0,7459.0,5576.0,240.0,5850.0,,,66.0,135.0,61.0,,,,,,,,
2023-09-20,899.0,,58485.0,0.0,0.0,,,,,,,,,,,,,
2023-09-21,473.0,,35721.0,0.0,0.0,,,,,,,,,,,,,
2023-09-22,452.0,,14245.0,0.0,0.0,,,,,,,,,,,,,
2023-09-23,0.0,,,0.0,0.0,,,,,,,,,,,,,
2023-09-24,0.0,,,0.0,0.0,,,,,,,,,,,,,
2023-09-25,403.0,,27274.0,0.0,0.0,,,,,,,,,,,,,
2023-09-26,398.0,6541.0,2956.0,1476.0,4560.0,,,50.0,160.0,50.0,,,,,,,,
2023-09-27,0.0,,,0.0,0.0,,,53.0,55.0,51.0,,,,,,,,
2023-09-28,999.0,,64317.0,0.0,0.0,,,,,,,,,,,,,
2023-09-29,1138.0,5391.0,42132.0,2820.0,2940.0,,,63.0,179.0,55.0,,,,,,,,
2023-09-30,317.0,8640.0,6332.0,420.0,7783.0,,,57.0,137.0,55.0,,,,,,,,
2023-10-01,550.0,3194.0,14983.0,1560.0,1680.0,,,52.0,159.0,55.0,,,,,,,,
2023-10-02,0.0,,,0.0,0.0,,,51.0,51.0,54.0,,,,,,,,
2023-10-03,435.0,4742.0,3810.0,960.0,3555.0,,,50.0,174.0,54.0,,,,,,,,
2023-10-04,492.0,,31602.0,0.0,0.0,,,,,,,,,,,,,
2023-10-05,415.0,4227.0,3184.0,540.0,3045.0,,,91.0,170.0,60.0,,,,,,,,
2023-10-06,541.0,1365.0,39549.0,1200.0,630.0,,,49.0,158.0,58.0,,,,,,,,
2023-10-07,1427.0,17993.0,55958.0,1920.0,11073.0,,,70.0,177.0,60.0,,,,,,,,
2023-10-08,371.0,2495.0,14681.0,1320.0,1610.0,,,58.0,152.0,61.0,,,,,,,,
2023-10-09,35.0,2414.0,1805.0,0.0,1855.0,,,53.0,113.0,61.0,,,,,,,,
2023-10-10,409.0,3560.0,1674.0,420.0,3309.0,,,55.0,163.0,62.0,,,,,,,,
2023-10-11,686.0,,40373.0,0.0,0.0,,,,,,,,,,,,,
