Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-07-03,757.0,2741.0,20889.0,1299,1986,15.612,19.738,45.0,181.0,54.0,8,74.0,5520.0,54.0,34.0,596.0,711.0,14.0
2023-07-04,565.0,11347.0,9603.0,1330,5640,64.998,45.414,40.0,149.0,50.0,21,93.0,14940.0,100.0,26.0,574.0,396.0,14.0
2023-07-05,125.0,7374.0,6241.0,673,3094,28.299,57.596,40.0,118.0,49.0,23,95.0,9840.0,89.0,35.0,553.0,,14.0
2023-07-06,705.0,1821.0,22322.0,232,949,15.24,15.625,38.0,169.0,48.0,18,90.0,5700.0,100.0,19.0,623.0,777.0,14.0
2023-07-07,538.0,9465.0,8010.0,1537,5135,54.864,121.527,37.0,121.0,47.0,24,98.0,9600.0,95.0,27.0,535.0,561.0,13.0
2023-07-08,871.0,7360.0,7440.0,589,5097,42.672,47.915,41.0,149.0,46.0,52,98.0,16860.0,64.0,10.0,579.0,1080.0,14.0
2023-07-09,1415.0,7134.0,41722.0,293,3663,29.798,31.407,38.0,178.0,44.0,33,93.0,11820.0,90.0,11.0,665.0,1162.0,14.0
2023-07-10,593.0,8351.0,8155.0,336,4948,44.812,67.761,38.0,167.0,43.0,28,99.0,10260.0,92.0,19.0,652.0,430.0,14.0
2023-07-11,631.0,10375.0,9987.0,205,6018,28.888,48.405,41.0,158.0,44.0,28,90.0,10980.0,74.0,16.0,531.0,518.0,14.0
2023-07-12,153.0,5888.0,4983.0,146,3033,39.717,38.473,39.0,115.0,43.0,25,93.0,6420.0,91.0,27.0,509.0,,14.0
2023-07-13,820.0,18359.0,17989.0,2218,7253,92.224,90.516,45.0,175.0,44.0,40,90.0,15180.0,64.0,17.0,580.0,556.0,13.0
2023-07-14,486.0,7740.0,6550.0,125,5078,24.384,52.04,40.0,125.0,45.0,26,92.0,7980.0,84.0,30.0,608.0,420.0,14.0
2023-07-15,710.0,5934.0,5149.0,1036,3755,24.384,18.381,56.0,135.0,45.0,66,96.0,6180.0,55.0,37.0,630.0,749.0,13.0
2023-07-16,1256.0,6973.0,17091.0,2036,3071,53.805,74.932,43.0,167.0,47.0,42,95.0,10680.0,63.0,14.0,598.0,826.0,14.0
2023-07-17,600.0,7568.0,6436.0,711,4455,40.06,39.664,38.0,150.0,46.0,25,97.0,10740.0,84.0,18.0,629.0,796.0,14.0
2023-07-18,762.0,8302.0,7134.0,558,4517,53.665,30.228,38.0,163.0,45.0,24,99.0,9120.0,93.0,22.0,637.0,534.0,14.0
2023-07-19,383.0,6437.0,5471.0,324,4031,27.432,12.184,40.0,122.0,45.0,26,87.0,9060.0,88.0,24.0,588.0,766.0,13.0
2023-07-20,811.0,5825.0,6600.0,1538,1555,56.688,94.005,39.0,157.0,45.0,23,88.0,36660.0,92.0,22.0,626.0,456.0,14.0
2023-07-21,2.0,203.0,172.0,0,80,3.048,2.417,47.0,89.0,45.0,22,79.0,600.0,64.0,27.0,641.0,,14.0
2023-07-22,0.0,140.0,125.0,36,4,0.0,0.0,53.0,93.0,45.0,34,67.0,360.0,23.0,20.0,639.0,,16.0
2023-07-23,2823.0,3403.0,106412.0,162,3030,24.384,33.353,42.0,180.0,44.0,47,99.0,6360.0,81.0,7.0,844.0,4000.0,17.0
2023-07-24,96.0,4039.0,3418.0,344,1534,13.805,41.497,45.0,108.0,45.0,31,90.0,5940.0,44.0,9.0,988.0,,14.0
2023-07-25,1160.0,8898.0,22635.0,2686,2092,240.792,289.159,37.0,177.0,46.0,14,84.0,6000.0,100.0,27.0,1363.0,1058.0,14.0
2023-07-26,664.0,21438.0,17491.0,19,13475,315.048,321.496,42.0,119.0,47.0,29,92.0,15060.0,79.0,26.0,1118.0,1392.0,13.0
2023-07-27,1593.0,12284.0,42326.0,1610,5269,177.139,173.062,47.0,175.0,47.0,51,92.0,10560.0,55.0,8.0,639.0,1290.0,13.0
2023-07-28,1506.0,13902.0,13537.0,2245,7130,105.093,140.014,40.0,159.0,47.0,33,91.0,17880.0,79.0,7.0,476.0,1165.0,14.0
2023-07-29,464.0,5326.0,4592.0,734,3798,30.48,21.195,44.0,125.0,47.0,32,91.0,8880.0,55.0,16.0,521.0,549.0,13.0
2023-07-30,48.0,2929.0,2479.0,53,1389,9.144,0.0,39.0,103.0,46.0,20,74.0,3960.0,100.0,39.0,515.0,,13.0
2023-07-31,1218.0,10462.0,10381.0,2372,4772,64.008,85.942,37.0,154.0,45.0,19,99.0,13680.0,100.0,21.0,635.0,939.0,14.0
2023-08-01,3080.0,2533.0,102059.0,251,2137,15.424,25.754,39.0,167.0,45.0,31,96.0,6060.0,81.0,9.0,758.0,3447.0,13.0
2023-08-02,984.0,13152.0,11130.0,286,9066,66.163,107.296,42.0,145.0,45.0,29,97.0,11520.0,52.0,11.0,618.0,758.0,14.0
2023-08-03,1113.0,15803.0,14899.0,409,8950,53.805,67.027,41.0,149.0,44.0,25,99.0,15720.0,93.0,20.0,591.0,,13.0
2023-08-04,533.0,6762.0,5748.0,321,4513,46.796,42.193,43.0,127.0,45.0,27,96.0,7740.0,80.0,23.0,626.0,425.0,14.0
