Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-07-06,440.0,1489.0,3237.0,381.0,1578.0,4.23,0.0,61.0,179.0,66.0,16.0,79.0,4380.0,32.0,9.0,440.0,467.0,13.0
2023-07-07,1095.0,11853.0,9908.0,3044.0,7486.0,18.288,87.748,45.0,147.0,59.0,33.0,99.0,14940.0,96.0,10.0,522.0,903.0,13.0
2023-07-08,1451.0,8742.0,7247.0,621.0,7392.0,26.478,27.594,47.0,170.0,56.0,22.0,97.0,9900.0,85.0,14.0,544.0,1551.0,13.0
2023-07-09,1545.0,17517.0,16866.0,1872.0,9296.0,117.507,18.892,50.0,192.0,56.0,32.0,97.0,16020.0,75.0,9.0,522.0,715.0,13.0
2023-07-10,554.0,7910.0,6535.0,877.0,5805.0,16.286,9.908,50.0,140.0,56.0,21.0,85.0,10260.0,70.0,9.0,564.0,963.0,13.0
2023-07-11,367.0,9806.0,8046.0,997.0,4731.0,73.26,72.29,48.0,127.0,55.0,29.0,97.0,8880.0,89.0,16.0,504.0,,13.0
2023-07-12,627.0,7882.0,6475.0,377.0,5061.0,124.968,17.301,52.0,169.0,55.0,30.0,91.0,8460.0,61.0,7.0,522.0,431.0,13.0
2023-07-13,286.0,1347.0,1123.0,159.0,716.0,0.0,0.0,52.0,174.0,54.0,27.0,82.0,2520.0,72.0,11.0,557.0,340.0,13.0
2023-07-14,1251.0,7544.0,24913.0,713.0,6810.0,20.342,17.826,52.0,188.0,54.0,30.0,99.0,10920.0,44.0,5.0,582.0,1581.0,13.0
2023-07-15,1423.0,19416.0,17614.0,2596.0,11655.0,73.152,48.08,53.0,192.0,55.0,47.0,98.0,17280.0,59.0,5.0,563.0,353.0,13.0
2023-07-16,2377.0,3900.0,75697.0,340.0,2573.0,0.0,30.924,49.0,177.0,55.0,22.0,99.0,7080.0,86.0,5.0,601.0,3143.0,13.0
2023-07-17,1857.0,4487.0,60236.0,260.0,5500.0,0.175,0.0,50.0,172.0,55.0,32.0,99.0,8100.0,68.0,18.0,558.0,3069.0,13.0
2023-07-18,885.0,6000.0,6274.0,277.0,3955.0,6.2620000000000005,0.0,51.0,179.0,56.0,27.0,99.0,12660.0,77.0,19.0,549.0,440.0,13.0
2023-07-19,2071.0,5304.0,61208.0,268.0,5434.0,2.172,2.465,46.0,182.0,55.0,24.0,97.0,10320.0,100.0,15.0,572.0,3114.0,13.0
2023-07-20,660.0,13845.0,12354.0,2632.0,4352.0,58.648,85.794,51.0,167.0,55.0,27.0,91.0,10620.0,81.0,13.0,552.0,546.0,13.0
2023-07-21,2412.0,23903.0,21737.0,3594.0,18131.0,42.914,47.077,48.0,181.0,54.0,24.0,99.0,21840.0,97.0,16.0,544.0,1505.0,13.0
2023-07-22,1598.0,11967.0,42965.0,908.0,8499.0,36.576,20.488,58.0,167.0,55.0,41.0,100.0,11880.0,27.0,5.0,556.0,959.0,13.0
2023-07-23,1120.0,4154.0,32918.0,394.0,4051.0,0.0,2.239,44.0,179.0,54.0,18.0,99.0,6900.0,99.0,17.0,574.0,1794.0,12.0
2023-07-24,962.0,15513.0,15743.0,3735.0,4355.0,91.44,94.033,52.0,191.0,53.0,41.0,95.0,13260.0,58.0,5.0,529.0,786.0,13.0
2023-07-25,769.0,14769.0,13651.0,2480.0,5471.0,83.846,74.627,46.0,177.0,53.0,38.0,93.0,13260.0,53.0,5.0,296.0,568.0,13.0
2023-07-26,495.0,8650.0,7189.0,489.0,6409.0,7.758,6.444000000000001,51.0,163.0,54.0,35.0,90.0,10020.0,54.0,5.0,8.0,633.0,13.0
2023-07-27,976.0,11602.0,11049.0,2642.0,3454.0,64.008,60.062,51.0,182.0,54.0,32.0,100.0,7860.0,68.0,10.0,11.0,570.0,13.0
2023-07-28,1573.0,17005.0,14544.0,1631.0,15284.0,16.921,32.364,53.0,164.0,55.0,40.0,99.0,21480.0,70.0,8.0,5.0,523.0,13.0
2023-07-29,625.0,5368.0,4614.0,653.0,5185.0,0.0,12.573,52.0,153.0,55.0,29.0,93.0,10080.0,63.0,6.0,-5.0,390.0,13.0
2023-07-30,2874.0,32219.0,28337.0,6488.0,18936.0,125.953,135.472,70.0,183.0,57.0,67.0,99.0,25440.0,38.0,5.0,-17.0,1539.0,13.0
2023-07-31,826.0,11481.0,9493.0,454.0,8415.0,28.947,33.914,53.0,160.0,57.0,28.0,94.0,11040.0,68.0,5.0,11.0,762.0,13.0
2023-08-01,544.0,16823.0,13878.0,616.0,10947.0,18.731,25.391,55.0,116.0,58.0,35.0,90.0,16740.0,77.0,15.0,24.0,,13.0
2023-08-02,1384.0,16872.0,15329.0,2763.0,9466.0,85.917,71.606,53.0,188.0,58.0,29.0,92.0,15660.0,75.0,13.0,18.0,1658.0,13.0
2023-08-03,576.0,10509.0,8641.0,249.0,5999.0,23.392,38.039,53.0,169.0,59.0,40.0,100.0,11400.0,67.0,12.0,-1.0,,13.0
