Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-07-04,625.0,1559.0,6694.0,659.0,1196.0,12.226,17.852,67.0,173.0,71.0,35.0,99.0,4680.0,19.0,10.0,397.0,525.0,13.0
2023-07-05,90.0,5229.0,4190.0,1382.0,2770.0,3.048,2.859,50.0,95.0,65.0,16.0,77.0,8160.0,68.0,11.0,456.0,,12.0
2023-07-06,1094.0,3610.0,3012.0,688.0,1547.0,6.967,6.678,49.0,164.0,62.0,21.0,100.0,6000.0,100.0,31.0,267.0,,12.0
2023-07-07,314.0,7723.0,6946.0,1654.0,1649.0,13.132,14.167,44.0,165.0,63.0,20.0,78.0,7920.0,99.0,28.0,209.0,408.0,12.0
2023-07-08,12.0,1397.0,1112.0,270.0,251.0,0.0,0.0,48.0,94.0,61.0,16.0,82.0,2040.0,100.0,43.0,207.0,,13.0
2023-07-09,2599.0,2653.0,71335.0,299.0,2033.0,0.0,0.0,44.0,189.0,59.0,26.0,96.0,6720.0,100.0,16.0,308.0,3179.0,12.0
2023-07-10,52.0,2894.0,2313.0,132.0,1116.0,3.048,0.0,39.0,104.0,58.0,27.0,92.0,3720.0,79.0,14.0,208.0,,13.0
2023-07-11,310.0,6119.0,5602.0,1983.0,607.0,21.336,19.004,45.0,169.0,55.0,20.0,90.0,4200.0,100.0,33.0,208.0,483.0,13.0
2023-07-12,5.0,553.0,440.0,174.0,17.0,0.0,0.0,46.0,91.0,54.0,20.0,84.0,960.0,100.0,31.0,211.0,,13.0
2023-07-13,873.0,22997.0,16566.0,3988.0,9722.0,174.582,553.858,43.0,144.0,53.0,19.0,85.0,14580.0,96.0,33.0,353.0,2052.0,12.0
2023-07-14,511.0,5994.0,23633.0,664.0,2075.0,3.048,2.842,45.0,181.0,52.0,26.0,95.0,8460.0,98.0,29.0,372.0,604.0,12.0
2023-07-15,591.0,10908.0,10799.0,2251.0,3316.0,53.835,47.186,50.0,190.0,52.0,33.0,93.0,9300.0,70.0,14.0,585.0,434.0,12.0
2023-07-16,2434.0,2390.0,80161.0,95.0,1838.0,0.0,32.023,51.0,178.0,53.0,35.0,95.0,3960.0,74.0,9.0,604.0,3359.0,13.0
2023-07-17,311.0,6754.0,5670.0,320.0,3722.0,29.525,24.547,60.0,122.0,53.0,51.0,93.0,8100.0,23.0,5.0,528.0,79.0,12.0
