Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-07-13,873.0,22997,16566,3988,9722,174.582,553.858,43,144,53,19,85,14580,96,33,353.0,2052.0,12.0
2023-07-14,511.0,5994,23633,664,2075,3.048,2.842,45,181,52,26,95,8460,98,29,372.0,604.0,12.0
2023-07-15,591.0,10908,10799,2251,3316,53.835,47.186,50,190,52,33,93,9300,70,14,585.0,434.0,12.0
2023-07-16,2434.0,2390,80161,95,1838,0.0,32.023,51,178,53,35,95,3960,74,9,604.0,3359.0,13.0
2023-07-17,311.0,6754,5670,320,3722,29.525,24.547,60,122,53,51,93,8100,23,5,528.0,79.0,12.0
2023-07-18,306.0,4197,3468,254,2575,31.349,29.113,59,149,54,55,99,5820,44,5,448.0,,13.0
2023-07-19,960.0,9230,7371,450,6374,30.48,14.31,52,179,55,37,95,10320,49,5,576.0,1096.0,13.0
2023-07-20,668.0,16443,14080,2499,5530,31.611,30.48,48,151,56,23,99,13020,98,19,553.0,544.0,12.0
2023-07-21,1039.0,12158,9687,1107,7476,13.171,7.091,45,172,56,29,100,11100,100,21,520.0,,12.0
2023-07-22,1113.0,13359,42285,1786,6141,13.092,22.343,49,164,56,35,92,13140,63,14,465.0,1038.0,12.0
2023-07-23,427.0,7969,6593,433,2997,25.837,106.155,58,124,57,37,96,5040,52,26,410.0,,14.0
2023-07-24,407.0,10690,8549,547,6898,14.476,23.822,48,123,56,33,95,9600,94,24,10.0,,13.0
2023-07-25,773.0,12097,11467,3016,2631,63.147,67.56,51,183,56,29,99,6720,90,20,6.0,812.0,13.0
2023-07-26,302.0,4179,3424,230,2393,14.611,23.288,47,118,56,31,99,5160,69,13,7.0,,12.0
2023-07-27,722.0,9127,8958,2250,2395,47.874,61.382,51,183,56,33,99,6540,90,13,3.0,568.0,12.0
2023-07-28,1181.0,13553,12163,3942,7627,19.82,23.993,55,156,57,49,99,13020,41,5,3.0,,12.0
2023-07-29,227.0,5110,4207,489,2892,0.0,0.0,53,122,58,34,92,8820,60,6,11.0,,13.0
2023-07-30,1626.0,21016,18883,4871,7636,106.68,125.325,54,190,58,58,99,12060,23,5,9.0,1270.0,13.0
2023-07-31,206.0,8301,6609,431,3908,44.259,40.886,51,122,58,26,87,7680,51,5,13.0,,13.0
2023-08-01,686.0,15098,12062,374,10667,21.376,21.005,49,128,59,42,96,12660,87,7,14.0,,13.0
2023-08-02,253.0,5448,4353,194,3688,28.099,11.814,53,129,59,33,97,5340,78,10,6.0,,13.0
2023-08-03,112.0,5422,4323,265,2233,20.724,33.356,51,120,59,29,96,4620,70,21,6.0,,12.0
2023-08-04,467.0,5779,4654,328,5108,27.704,40.863,49,120,58,32,99,6960,79,15,9.0,,12.0
2023-08-05,155.0,7152,5922,1420,1662,7.05,16.471,49,136,58,44,93,6000,43,5,10.0,,13.0
2023-08-06,91.0,3339,2659,384,1433,2.237,2.726,54,111,58,36,91,5160,40,5,230.0,,12.0
2023-08-07,1971.0,12218,62580,259,7723,61.217,42.856,54,190,58,44,99,10560,67,5,580.0,1469.0,13.0
2023-08-08,1364.0,14950,14209,4089,3961,100.584,92.036,53,185,59,46,100,10020,28,5,606.0,1013.0,12.0
2023-08-09,290.0,5540,4418,173,3339,21.336,24.353,55,133,60,36,95,6360,55,5,602.0,,12.0
2023-08-10,894.0,6648,6329,350,4546,28.065,35.109,53,176,60,37,100,9180,67,8,606.0,,13.0
2023-08-11,789.0,10296,8450,1262,7103,17.513,20.015,54,173,61,37,97,10980,45,5,563.0,,12.0
2023-08-12,13.0,1146,923,166,308,8.481,3.851,50,103,61,24,78,2220,82,5,573.0,,13.0
2023-08-13,3400.0,2012,109002,63,2898,6.096,4.75,61,181,61,60,100,3840,84,5,597.0,4366.0,12.0
2023-08-14,568.0,6489,6150,242,4560,67.163,22.345,56,158,62,36,94,8100,39,5,609.0,,12.0
2023-08-15,525.0,8787,6996,58,5175,33.528,20.398,51,151,61,27,99,8100,83,11,564.0,,12.0
2023-08-16,1439.0,3597,51961,157,2495,14.079,15.651,51,189,60,32,97,4740,85,8,548.0,1607.0,12.0
2023-08-17,323.0,5520,4435,278,3045,32.186,17.423,57,166,61,34,100,6600,49,8,584.0,,12.0
2023-08-18,289.0,8905,7276,929,3983,39.793,76.845,48,136,59,28,91,7440,90,17,524.0,,13.0
2023-08-19,658.0,14585,11756,805,8134,83.511,41.713,43,141,59,27,99,14880,100,21,479.0,,13.0
2023-08-20,151.0,6089,4848,546,2481,4.669,6.411,44,116,57,22,96,7440,100,20,661.0,,13.0
2023-08-21,37.0,2734,2186,298,795,3.048,7.470000000000001,44,100,55,25,90,5160,100,30,1256.0,,12.0
2023-08-22,3183.0,3220,68760,171,3384,20.287,15.066,45,189,54,34,96,5340,100,6,1295.0,3479.0,12.0
2023-08-23,830.0,18273,11801,3010,9334,656.787,660.711,49,150,54,36,98,14100,59,7,1425.0,2590.0,13.0
2023-08-24,13.0,1751,1394,272,327,9.826,7.102,47,96,52,24,84,3180,84,15,1316.0,,12.0
2023-08-25,121.0,4206,3349,460,1699,21.372,14.64,46,128,51,26,95,7260,100,24,1155.0,,12.0
2023-08-26,150.0,2053,1721,180,1209,12.192,11.321,46,144,51,33,99,2580,95,23,489.0,,13.0
2023-08-27,688.0,2123,26400,197,1226,0.0,0.0,48,191,52,36,98,5760,77,14,584.0,671.0,12.0
2023-08-28,646.0,11172,8908,265,8394,6.096,35.039,55,156,53,43,99,10200,46,5,319.0,,13.0
2023-08-29,696.0,27174,21686,214,14643,75.177,48.975,47,118,54,26,85,20340,83,5,30.0,,13.0
2023-08-30,584.0,19992,15918,498,11095,43.5,32.166,52,151,54,32,94,15120,84,23,32.0,,13.0
2023-08-31,683.0,15091,12099,267,9586,99.587,85.772,58,148,55,49,100,15240,29,5,27.0,,13.0
2023-09-01,571.0,18889,15040,411,10880,42.672,35.029,53,131,56,36,99,16800,58,5,14.0,,12.0
2023-09-02,1057.0,23016,18495,224,15700,12.297,4.798,65,135,59,57,99,16620,20,5,13.0,,13.0
2023-09-03,356.0,10725,8539,106,5921,14.197,7.036,53,132,60,28,97,10920,52,5,77.0,,12.0
2023-09-04,195.0,10193,8233,322,4514,39.624,43.298,47,104,59,29,90,11940,88,14,174.0,,12.0
2023-09-05,190.0,6858,5507,326,3642,55.284,37.013,48,116,59,37,94,11760,91,11,234.0,,13.0
2023-09-06,108.0,4754,3841,239,2156,53.352,53.345,49,111,60,36,90,8220,47,12,226.0,,13.0
2023-09-07,672.0,9234,7367,194,7780,46.534,23.676,51,142,60,44,99,12000,61,5,232.0,,12.0
2023-09-08,1807.0,33280,25247,1374,18719,617.816,510.226,59,166,60,39,92,22620,32,5,348.0,3108.0,13.0
2023-09-09,2210.0,34813,26176,3087,18537,899.388,784.342,49,187,59,34,93,23280,64,5,449.0,3395.0,12.0
2023-09-10,1127.0,20407,15590,2547,9476,480.87,543.109,49,183,59,36,99,15720,57,12,342.0,1325.0,12.0
2023-09-11,127.0,3316,2655,101,2222,0.0,3.149,67,122,61,56,93,6900,67,11,86.0,,12.0
2023-09-12,719.0,15439,12389,222,9785,35.78,49.6,48,147,61,47,98,13620,57,5,-6.0,,13.0
2023-09-13,355.0,12319,9900,141,7070,20.161,29.504,56,115,61,36,93,6120,35,5,337.0,,12.0
2023-09-14,127.0,4378,3506,148,2145,27.777,42.604,51,132,61,26,89,5100,93,18,424.0,,12.0
2023-09-15,154.0,4619,3699,320,2376,16.973,27.326,47,116,59,34,94,5820,100,16,487.0,,12.0
2023-09-16,143.0,4656,3923,406,1905,4.335,2.355,47,144,59,29,95,6360,82,14,571.0,,12.0
2023-09-17,182.0,6012,4819,734,2253,24.384,19.364,47,129,58,33,96,7020,94,21,553.0,,12.0
2023-09-18,1111.0,3272,9270,243,3031,8.009,18.635,50,195,56,42,99,9600,82,10,478.0,266.0,12.0
